sex,YEAR,n
female,2003,262
female,2004,558
female,2005,442
female,2006,659
female,2007,290
female,2008,638
female,2009,567
female,2010,252
female,2011,902
female,2012,566
female,2013,602
female,2014,387
female,2017,442
female,2018,329
female,2019,241
female,2020,203
female,2021,357
female,2022,261
female,2023,255
male,2003,284
male,2004,544
male,2005,446
male,2006,667
male,2007,329
male,2008,621
male,2009,589
male,2010,289
male,2011,912
male,2012,663
male,2013,609
male,2014,384
male,2017,531
male,2018,460
male,2019,306
male,2020,229
male,2021,370
male,2022,282
male,2023,290
