"Sex","Model","Low_ESS_Count","Problematic_Parameters"
"female","ABS1",0,NA
"female","ABS10",0,NA
"female","ABS11",0,NA
"female","ABS12",0,NA
"female","ABS13",0,NA
"female","ABS14",0,NA
"female","ABS15",0,NA
"female","ABS16",0,NA
"female","ABS2",0,NA
"female","ABS3",0,NA
"female","ABS4",0,NA
"female","ABS5",0,NA
"female","ABS6",0,NA
"female","ABS7",0,NA
"female","ABS8",0,NA
"female","ABS9",0,NA
"female","m1",0,NA
"female","m10",0,NA
"female","m11",0,NA
"female","m12",0,NA
"female","m13",0,NA
"female","m14",0,NA
"female","m15",0,NA
"female","m16",0,NA
"female","m2",0,NA
"female","m3",0,NA
"female","m4",0,NA
"female","m5",0,NA
"female","m6",0,NA
"female","m7",0,NA
"female","m8",0,NA
"female","m9",0,NA
"female","Q1",0,NA
"female","Q10",0,NA
"female","Q11",0,NA
"female","Q12",0,NA
"female","Q13",0,NA
"female","Q14",0,NA
"female","Q15",0,NA
"female","Q16",0,NA
"female","Q17",0,NA
"female","Q18",0,NA
"female","Q19",0,NA
"female","Q2",0,NA
"female","Q20",0,NA
"female","Q21",0,NA
"female","Q22",0,NA
"female","Q23",0,NA
"female","Q24",0,NA
"female","Q3",0,NA
"female","Q4",0,NA
"female","Q5",0,NA
"female","Q6",0,NA
"female","Q7",0,NA
"female","Q8",0,NA
"female","Q9",0,NA
"male","ABS1",0,NA
"male","ABS10",0,NA
"male","ABS11",0,NA
"male","ABS12",0,NA
"male","ABS13",0,NA
"male","ABS14",0,NA
"male","ABS15",0,NA
"male","ABS16",0,NA
"male","ABS2",0,NA
"male","ABS3",0,NA
"male","ABS4",0,NA
"male","ABS5",0,NA
"male","ABS6",0,NA
"male","ABS7",0,NA
"male","ABS8",0,NA
"male","ABS9",0,NA
"male","m1",0,NA
"male","m10",0,NA
"male","m11",0,NA
"male","m12",0,NA
"male","m13",0,NA
"male","m14",0,NA
"male","m15",0,NA
"male","m16",0,NA
"male","m2",0,NA
"male","m3",0,NA
"male","m4",0,NA
"male","m5",0,NA
"male","m6",0,NA
"male","m7",0,NA
"male","m8",0,NA
"male","m9",0,NA
"male","Q1",0,NA
"male","Q10",0,NA
"male","Q11",0,NA
"male","Q12",0,NA
"male","Q13",0,NA
"male","Q14",0,NA
"male","Q15",0,NA
"male","Q16",0,NA
"male","Q17",0,NA
"male","Q18",0,NA
"male","Q19",0,NA
"male","Q2",0,NA
"male","Q20",0,NA
"male","Q21",0,NA
"male","Q22",0,NA
"male","Q23",0,NA
"male","Q24",0,NA
"male","Q3",0,NA
"male","Q4",0,NA
"male","Q5",0,NA
"male","Q6",0,NA
"male","Q7",0,NA
"male","Q8",0,NA
"male","Q9",0,NA
