"season_year","yearly_median","bloom_start_thr5","value_at_bloom_thr5","threshold_thr5","bloom_start_thr15","value_at_bloom_thr15","threshold_thr15","bloom_start_thr25","value_at_bloom_thr25","threshold_thr25","bloom_start_thr30","value_at_bloom_thr30","threshold_thr30","diff_days_5_vs_15","diff_days_5_vs_30"
2003,0.700725932,"21/12/2002",0.911862105,0.7357622286,"21/12/2002",0.911862105,0.8058348218,"21/12/2002",0.911862105,0.875907415,NA,NA,NA,0,NA
2004,0.805572246,"25/12/2003",0.756571051,0.8458508583,"25/12/2003",0.756571051,0.9264080829,"25/12/2003",0.756571051,1.0069653075,"25/12/2003",0.756571051,1.0472439198,0,0
2005,0.595049478,"24/12/2004",0.482801196,0.6248019519,"05/01/2005",0.641045989,0.6843068997,"14/01/2005",0.869264335,0.7438118475,NA,NA,NA,12,NA
2006,1.1317206755,"21/12/2005",1.320951918,1.188306709275,"21/12/2005",1.320951918,1.301478776825,"29/12/2005",3.483866397,1.414650844375,"30/12/2005",1.766616784,1.47123687815,0,9
2007,0.853726541,"28/12/2006",0.958842532,0.89641286805,"07/01/2007",0.861973934,0.98178552215,"11/01/2007",0.50400516,1.06715817625,"13/01/2007",0.999430426,1.1098445033,10,16
2008,2.9535832745,"22/12/2007",2.587587657,3.101262438225,"22/12/2007",2.587587657,3.396620765675,"22/12/2007",2.587587657,3.691979093125,"22/12/2007",2.587587657,3.83965825685,0,0
2009,1.1115875605,"31/12/2008",2.385186105,1.167166938525,"31/12/2008",2.385186105,1.278325694575,"14/02/2009",1.039098977,1.389484450625,NA,NA,NA,0,NA
2010,0.694950835,"22/01/2010",0.639650378,0.72969837675,"22/01/2010",0.639650378,0.79919346025,"22/01/2010",0.639650378,0.86868854375,"22/01/2010",0.639650378,0.9034360855,0,0
2011,2.579722194,"06/01/2011",1.2352164,2.7087083037,"09/01/2011",3.84261155,2.9666805231,"09/01/2011",3.84261155,3.2246527425,"18/01/2011",5.46864607,3.3536388522,3,12
2012,2.02819606,"21/12/2011",2.116302563,2.129605863,"21/12/2011",2.116302563,2.332425469,"21/02/2012",2.099206635,2.535245075,"25/02/2012",5.34604833,2.636654878,0,66
2013,0.822017861,"21/12/2012",1.020401913,0.86311875405,"25/12/2012",2.017087335,0.94532054015,"29/12/2012",0.804069725,1.02752232625,"29/12/2012",0.804069725,1.0686232193,4,8
2014,0.682575326,"22/12/2013",0.850106371,0.7167040923,"21/01/2014",0.390986171,0.7849616249,"23/04/2014",0.906136491,0.8532191575,"23/04/2014",0.906136491,0.8873479238,30,122
2015,0.708037593,"21/12/2014",1.144838242,0.74343947265,"21/12/2014",1.144838242,0.81424323195,"21/12/2014",1.144838242,0.88504699125,"28/12/2014",0.762388205,0.9204488709,0,7
2016,0.5239265025,"23/12/2015",0.908865807,0.550122827625,"23/12/2015",0.908865807,0.602515477875,"23/12/2015",0.908865807,0.654908128125,"23/12/2015",0.908865807,0.68110445325,0,0
2017,0.8260149425,"21/12/2016",0.892063461,0.867315689625,"27/12/2016",1.216921735,0.949917183875,"11/01/2017",1.087744019,1.032518678125,"11/01/2017",1.087744019,1.07381942525,6,21
2018,1.038344448,"16/02/2018",0.52973094,1.0902616704,"16/02/2018",0.52973094,1.1940961152,"16/02/2018",0.52973094,1.29793056,"17/02/2018",1.06180277,1.3498477824,0,1
2019,0.704745341,"22/12/2018",0.750093115,0.73998260805,"02/05/2019",0.497956079,0.81045714215,"02/05/2019",0.497956079,0.88093167625,"03/05/2019",0.67900981,0.9161689433,131,132
2020,0.765343948,"21/12/2019",0.912305152,0.8036111454,"21/12/2019",0.912305152,0.8801455402,"21/12/2019",0.912305152,0.956679935,"21/12/2019",0.912305152,0.9949471324,0,0
2021,1.468490596,"03/01/2021",3.354190954,1.5419151258,"15/01/2021",1.399696539,1.6887641854,"15/01/2021",1.399696539,1.835613245,"15/01/2021",1.399696539,1.9090377748,12,12
2022,1.262655189,"17/02/2022",1.011715406,1.32578794845,"23/02/2022",1.381138297,1.45205346735,"12/03/2022",2.504754001,1.57831898625,"12/03/2022",2.504754001,1.6414517457,6,23
2023,1.1263307535,"22/01/2023",1.083732743,1.182647291175,"27/01/2023",1.171758413,1.295280366525,"29/01/2023",1.252525904,1.407913441875,"30/01/2023",1.211083298,1.46422997955,5,8
